A=5691 B=8189 C=7839 X=653846547 Y=9339892237 Z=20771898220 M=5843
A=5884 B=4113 C=9556 X=915265704 Y=6395236430 Z=86038498070 M=4980
A=3600 B=5913 C=7782 X=206681479 Y=4361762194 Z=34654774075 M=3429
A=4313 B=9364 C=7119 X=633706918 Y=5726054544 Z=58199031718 M=5607
A=9237 B=8510 C=7512 X=958038153 Y=8231126333 Z=79031288745 M=9695
A=8027 B=5167 C=9498 X=990970391 Y=7056571508 Z=19392474935 M=3711
A=6261 B=5135 C=9014 X=526987724 Y=2799892287 Z=72329412077 M=8696
A=6691 B=4126 C=9148 X=287904250 Y=8426277369 Z=20634751566 M=4542
A=7768 B=6872 C=9037 X=905666151 Y=9277021124 Z=24930568168 M=2885
A=8514 B=6826 C=7218 X=140460329 Y=3520856170 Z=11636684167 M=1986
A=5711 B=6953 C=8233 X=439138467 Y=6155293139 Z=95476809037 M=1182
A=2285 B=7052 C=5671 X=280848767 Y=4343622610 Z=83401122787 M=6254
A=2389 B=7643 C=8575 X=885769281 Y=4398630807 Z=33411111336 M=2231
A=3558 B=8839 C=8692 X=648196040 Y=3920479007 Z=81139293323 M=1909
A=6899 B=6602 C=5163 X=218815293 Y=6835277722 Z=53442102278 M=7684
A=7661 B=6720 C=5759 X=212322972 Y=6370226997 Z=18577681142 M=2482
A=5438 B=3014 C=7833 X=549566125 Y=9800189724 Z=20059690773 M=4347
A=4256 B=4964 C=7301 X=785517659 Y=6226354826 Z=26134708423 M=1734
A=7908 B=5742 C=9969 X=604612028 Y=8262749102 Z=42894559328 M=7820
A=3187 B=4856 C=8418 X=160652145 Y=8653621441 Z=76033315033 M=5934
A=3350 B=8314 C=7366 X=216472080 Y=1781458032 Z=62256682912 M=1395
A=8594 B=5187 C=7799 X=443698066 Y=9024814573 Z=45247606180 M=1439
A=9769 B=3317 C=6599 X=888633797 Y=5164176344 Z=97581035944 M=5396
A=2806 B=6303 C=7002 X=888483651 Y=7938990802 Z=91388329688 M=1084
A=5697 B=5977 C=8947 X=266756991 Y=9501408380 Z=51038300108 M=1644
A=7334 B=5567 C=9591 X=317417801 Y=8657616057 Z=11690028916 M=4018
A=5809 B=4361 C=8264 X=655900589 Y=7328575849 Z=49311218842 M=1135
A=8275 B=6592 C=9789 X=512686155 Y=9170723849 Z=93982464117 M=3314
A=6554 B=3203 C=7960 X=187515934 Y=2467250665 Z=94937848632 M=7988
A=7645 B=5908 C=7418 X=478285669 Y=3281772594 Z=91535750344 M=7701
A=8967 B=4620 C=5375 X=234215255 Y=6185077870 Z=33155940098 M=5827
A=3564 B=9175 C=8613 X=983202967 Y=2897523695 Z=15732294795 M=1585
A=9811 B=8232 C=6018 X=265937074 Y=3786882082 Z=79673040002 M=4363
A=8367 B=3393 C=6991 X=124567872 Y=3945770687 Z=53284983844 M=2504
A=4789 B=6423 C=6386 X=581049869 Y=3466416260 Z=30182018392 M=2418
A=9357 B=6689 C=9015 X=492549056 Y=9111560708 Z=86510916266 M=4501
A=8752 B=3945 C=7826 X=317944887 Y=8101453820 Z=21553344644 M=8787
A=3904 B=3947 C=7327 X=237188414 Y=7387508033 Z=59947217422 M=3081
A=5745 B=7547 C=7640 X=558888092 Y=5872683591 Z=39126313326 M=5812
A=8229 B=7842 C=9056 X=312731979 Y=3569232149 Z=39224922654 M=6627
A=8578 B=3537 C=7251 X=923750326 Y=4487105549 Z=58850571227 M=4909
A=8955 B=3442 C=9627 X=220452001 Y=5652223221 Z=29738556908 M=7541
A=5779 B=9001 C=7142 X=308503409 Y=8467195062 Z=52254915651 M=7957
A=4055 B=8864 C=6690 X=627535040 Y=6370037900 Z=36384630993 M=9084
A=5217 B=4452 C=7185 X=319049341 Y=7931351567 Z=88713615849 M=9006
A=8117 B=7769 C=9836 X=111333908 Y=2919342543 Z=72042266538 M=1198
A=3898 B=7200 C=5868 X=587892965 Y=8252278475 Z=87955916865 M=2717
A=3312 B=3742 C=7191 X=779117833 Y=6166120832 Z=82027025298 M=9371
A=9694 B=9356 C=9571 X=264108113 Y=6730365276 Z=45172935179 M=4149
A=6284 B=8013 C=7666 X=216044512 Y=2842613679 Z=11417879489 M=6094
A=5923 B=3960 C=6153 X=327137918 Y=8026600592 Z=53229437015 M=3650
A=4956 B=7993 C=5341 X=656829110 Y=1651866221 Z=49257194045 M=3012
A=2521 B=6619 C=8201 X=595972216 Y=3542940670 Z=93976098879 M=6764
A=5847 B=5498 C=9965 X=461285043 Y=1111955021 Z=42393977854 M=4370
A=9873 B=4383 C=5839 X=724470731 Y=8499322039 Z=16819880124 M=7082
A=8650 B=6448 C=9360 X=409767350 Y=1465084197 Z=92795035388 M=8530
A=6301 B=8275 C=9783 X=371432433 Y=8472648641 Z=33392459299 M=7184
A=7286 B=7459 C=9708 X=572059960 Y=3536028237 Z=76247900953 M=4122
A=4242 B=6358 C=5912 X=280952816 Y=6453188663 Z=30764830929 M=1086
A=8474 B=9744 C=8258 X=114772643 Y=9513779880 Z=90705868899 M=1657
A=9547 B=3758 C=8029 X=275643481 Y=3197616939 Z=89282847236 M=6101
A=6504 B=5546 C=9031 X=709912822 Y=7630856519 Z=79853482220 M=9042
A=4465 B=9117 C=8135 X=658750015 Y=4724445938 Z=44375269083 M=7456
A=8486 B=9106 C=8036 X=928661128 Y=1492477723 Z=79563373184 M=1171
A=6015 B=5882 C=8821 X=537909562 Y=1536191062 Z=49252532730 M=6223
A=9308 B=8172 C=5271 X=626880237 Y=8396318374 Z=10068438043 M=1488
A=3943 B=9798 C=6291 X=591907040 Y=3868279357 Z=82475068519 M=6830
A=7014 B=5140 C=5651 X=891570052 Y=9301319238 Z=74428981966 M=4260
A=5396 B=9741 C=8210 X=487772833 Y=5914632251 Z=96748715558 M=1521
A=2592 B=7054 C=8876 X=652002744 Y=3643665221 Z=78087540174 M=8423
A=9418 B=8155 C=5149 X=641623294 Y=7222884726 Z=72759356776 M=7667
A=9879 B=9335 C=7007 X=657031938 Y=3469733016 Z=75673107482 M=1844
A=2775 B=6261 C=9287 X=428795566 Y=9413813012 Z=78432554079 M=9068
A=9456 B=3803 C=9603 X=735382688 Y=6985375841 Z=52605861680 M=8614
A=8645 B=8615 C=5238 X=236550874 Y=5644895615 Z=61246048844 M=4617
A=4758 B=5418 C=8571 X=890621567 Y=6637141196 Z=77581592618 M=3190
A=4441 B=8090 C=7530 X=378978862 Y=3416724219 Z=39110381505 M=3708
A=2904 B=8074 C=5702 X=178842911 Y=1114616941 Z=54013920922 M=2276
A=8397 B=3214 C=6678 X=170776525 Y=3209786164 Z=97965520376 M=3796
A=8871 B=6901 C=8735 X=312485387 Y=9508168380 Z=76638182147 M=8130
A=6889 B=3898 C=8733 X=716464980 Y=3047034894 Z=17511090246 M=4793
A=7885 B=3344 C=9162 X=793580083 Y=9606468991 Z=92318919610 M=5708
A=5893 B=6432 C=7459 X=881379094 Y=2174138037 Z=94262165649 M=5312
A=8366 B=8533 C=8122 X=608393252 Y=8026330632 Z=83102991591 M=8664
A=2330 B=5048 C=5160 X=350056107 Y=3206367281 Z=85757032112 M=1265
A=6802 B=4488 C=9122 X=121405013 Y=8684615829 Z=41653239839 M=8354
A=4190 B=4496 C=9350 X=579127130 Y=1344524137 Z=23828747675 M=8406
A=9798 B=8271 C=6746 X=430508960 Y=3288129551 Z=49317445243 M=4553
A=8471 B=4380 C=9543 X=807477611 Y=8894317470 Z=33250037268 M=7169
A=6361 B=4718 C=5502 X=348746119 Y=6126223917 Z=42150746295 M=5930
A=8558 B=6011 C=7031 X=861978406 Y=1332827192 Z=39683806872 M=3377
A=4181 B=6101 C=5872 X=741612738 Y=1087813322 Z=29104276096 M=8227
A=5549 B=7122 C=5752 X=616204084 Y=8839952107 Z=48912590767 M=4144
A=7724 B=7117 C=5875 X=613080722 Y=6344295125 Z=92193698423 M=8476
A=8586 B=9926 C=7932 X=551304246 Y=2526352945 Z=29638976259 M=6733
A=2742 B=4099 C=9721 X=148768745 Y=3295887892 Z=25977066508 M=9726
A=6273 B=6546 C=6880 X=368443074 Y=4172969218 Z=65327651990 M=9620
A=3023 B=3544 C=8532 X=184209851 Y=9200432031 Z=43076711582 M=9006
A=3143 B=6883 C=9727 X=998397984 Y=7975488529 Z=61792376671 M=2783
A=3205 B=3342 C=9827 X=446461918 Y=9603059994 Z=38782983945 M=7282
A=4175 B=3186 C=8727 X=175935746 Y=7418858832 Z=84698416129 M=8170
A=9691 B=5598 C=7693 X=262791850 Y=9127645379 Z=15710479477 M=5811
A=3159 B=9903 C=7009 X=800901997 Y=1798671192 Z=73751984290 M=3573
A=4863 B=4626 C=8715 X=600497700 Y=8301572639 Z=83029646015 M=2704
A=2151 B=7260 C=5368 X=622070883 Y=7745232115 Z=44740768537 M=6955
A=3093 B=6055 C=6861 X=110006848 Y=8158080071 Z=24003315060 M=1595
A=7586 B=4004 C=6246 X=594100699 Y=7086648236 Z=70253340658 M=5547
A=5184 B=5521 C=9905 X=883990294 Y=7609246233 Z=86599905359 M=5664
A=4830 B=8212 C=8512 X=205158900 Y=4717939888 Z=23144445057 M=6689
A=9529 B=4906 C=8583 X=558235580 Y=3916297522 Z=43349139537 M=2908
A=4406 B=8843 C=6397 X=610609483 Y=4782278280 Z=43115253582 M=3358
A=6286 B=9048 C=9827 X=712479637 Y=4485326941 Z=82505811962 M=4210
A=5039 B=6359 C=8316 X=330080964 Y=9114684830 Z=81181642122 M=7172
A=6176 B=6755 C=9868 X=964576430 Y=8306311128 Z=34890315437 M=2515
A=7843 B=4700 C=7567 X=856162441 Y=4843721101 Z=60062695270 M=9872
A=7471 B=9541 C=8644 X=496390097 Y=6189267704 Z=12145518933 M=7888
A=5076 B=8828 C=9933 X=438527365 Y=3634405297 Z=24850456799 M=3401
A=4058 B=9828 C=7924 X=249856621 Y=2221491805 Z=35322624030 M=8207
A=5449 B=8072 C=7238 X=804865990 Y=3638969941 Z=16729665201 M=4059
A=3280 B=9395 C=8525 X=954138624 Y=4660143810 Z=24893764910 M=5164
A=5989 B=3363 C=5261 X=769803744 Y=7710056007 Z=24099162690 M=4516
A=6534 B=3826 C=6154 X=826556022 Y=1979233394 Z=30481802371 M=3124
A=6053 B=5874 C=7435 X=884330741 Y=9399176629 Z=59866169128 M=9011
A=3225 B=7920 C=5701 X=936582621 Y=7528743145 Z=85029457443 M=4384
A=7387 B=4061 C=6666 X=649232010 Y=2462436528 Z=85494848066 M=6466
A=5149 B=8610 C=6553 X=803825131 Y=2490885098 Z=86759667681 M=3860
A=4945 B=6856 C=8415 X=972112216 Y=6198346734 Z=97483357920 M=4247
A=6346 B=6929 C=9742 X=824331386 Y=6683455829 Z=22649134709 M=1615
A=9764 B=8728 C=5352 X=396980785 Y=4324778667 Z=33484088129 M=5724
A=7723 B=5398 C=9823 X=792133793 Y=3564306202 Z=38262852278 M=2612
A=9816 B=5897 C=5042 X=480062396 Y=7405885191 Z=42754373016 M=5839
A=2906 B=8543 C=6180 X=431157787 Y=9207076308 Z=59923168675 M=7195
A=8906 B=8067 C=6313 X=174883600 Y=2181343269 Z=63387365750 M=3226
A=4833 B=9010 C=6202 X=559781044 Y=6443813577 Z=49250749206 M=1957
A=2052 B=3857 C=6777 X=997902688 Y=3522322296 Z=78429678101 M=2908
A=9296 B=5001 C=8989 X=323814165 Y=4573703019 Z=82492109104 M=8168
A=4513 B=4031 C=6826 X=950028071 Y=7315518178 Z=23203753744 M=6799
A=9544 B=5366 C=7082 X=248193481 Y=8857185107 Z=22106492118 M=9676
A=4236 B=9305 C=8025 X=837811612 Y=5119155435 Z=82614568120 M=2772
A=8000 B=4211 C=6328 X=479552882 Y=8863359513 Z=38157265610 M=5189
A=3286 B=9460 C=7750 X=616617488 Y=2632337935 Z=63731157018 M=4359
A=6486 B=4319 C=8062 X=177551508 Y=1727007767 Z=43647169096 M=3935
A=8885 B=3078 C=7488 X=489744626 Y=3546882841 Z=12272286409 M=4575
A=4068 B=3199 C=6262 X=957571095 Y=5348557963 Z=84197699573 M=7193
A=8824 B=9673 C=9255 X=413844504 Y=4051481310 Z=89251908789 M=1280
A=7273 B=7412 C=7430 X=504567194 Y=5638553495 Z=13477386422 M=7174
A=3677 B=8018 C=7476 X=981134800 Y=8151844622 Z=13436036772 M=8667
A=3968 B=5805 C=8140 X=145199060 Y=1638206345 Z=12838327481 M=5376
A=9532 B=4223 C=7420 X=747126196 Y=7781054184 Z=50277928318 M=4640
A=7658 B=4459 C=7100 X=520611742 Y=9264418496 Z=17773924674 M=9928
A=3806 B=3549 C=8238 X=662141012 Y=1842545505 Z=10192937276 M=5117
A=2837 B=7861 C=8521 X=108240850 Y=1512619648 Z=49280809439 M=3696
A=6936 B=9437 C=9510 X=395152947 Y=8578653050 Z=80632780829 M=7527
A=8501 B=9438 C=5836 X=705145747 Y=3410612827 Z=94207100171 M=1171
A=9376 B=6612 C=7992 X=596069865 Y=7288791092 Z=53130107384 M=9228
A=6416 B=6800 C=9634 X=950919323 Y=5555269471 Z=49690962195 M=1616
A=4078 B=4166 C=8150 X=672258295 Y=1060675457 Z=28942620309 M=9546
A=7170 B=3448 C=8827 X=485438590 Y=7343856419 Z=80357916469 M=3434
A=6938 B=6910 C=8990 X=185640389 Y=4481447640 Z=33397799739 M=5841
A=3131 B=4719 C=9322 X=964176962 Y=7153637422 Z=45135387087 M=9519
A=8961 B=9842 C=5922 X=649183572 Y=8229972378 Z=31893712920 M=3279
A=4963 B=6322 C=9986 X=736838767 Y=1907387327 Z=73811243809 M=1842
A=7022 B=6665 C=7943 X=779342483 Y=3783149507 Z=18182915978 M=1745
A=9587 B=8043 C=6004 X=918754570 Y=7117879516 Z=98499656722 M=1321
A=8076 B=4779 C=6624 X=711593819 Y=6648219629 Z=32584660719 M=6627
A=7336 B=7323 C=7091 X=766028867 Y=1874945377 Z=51542924732 M=4484
A=2370 B=3974 C=7010 X=318802121 Y=4569794747 Z=32268436399 M=2245
A=5636 B=6929 C=8803 X=484982853 Y=2451014613 Z=13365549659 M=6506
A=2885 B=3867 C=5872 X=914001826 Y=6857154542 Z=53194312528 M=3298
A=4543 B=3336 C=8385 X=266505874 Y=4995163708 Z=17736306526 M=5140
A=7203 B=4595 C=9152 X=242270313 Y=3510947769 Z=40746859010 M=6458
A=2377 B=5919 C=9450 X=403231938 Y=4876500574 Z=46943821325 M=6645
A=8567 B=9361 C=6008 X=407853292 Y=6523121645 Z=57606555831 M=1347
A=9048 B=4657 C=7398 X=940684232 Y=5453821365 Z=42607699034 M=2500
A=6136 B=8542 C=7433 X=465304980 Y=2714628906 Z=67431467704 M=6694
A=9706 B=8219 C=9322 X=575331627 Y=9975183447 Z=12270088928 M=1914
A=2392 B=8903 C=6624 X=945279082 Y=2042472551 Z=27856379288 M=8555
A=5165 B=8870 C=6148 X=968727727 Y=7606436494 Z=65916292278 M=6034
A=9963 B=7240 C=9424 X=709020291 Y=4877367522 Z=88215604171 M=4267
A=4523 B=8069 C=7874 X=571589574 Y=5186824764 Z=90171286438 M=2203
A=4779 B=4725 C=5700 X=512899651 Y=7318218141 Z=25370841097 M=6808
A=7712 B=3173 C=9395 X=133020637 Y=2539790499 Z=45578964402 M=2598
A=5497 B=8550 C=5418 X=745841357 Y=5594877339 Z=84936661116 M=1037
A=7517 B=8053 C=6572 X=824392933 Y=8865437031 Z=56288364230 M=3528
A=5120 B=8913 C=8509 X=187134040 Y=7281055134 Z=90550562672 M=6738
A=9824 B=6481 C=8392 X=248612228 Y=2348891652 Z=62080651876 M=1788
A=6414 B=8483 C=8026 X=550056218 Y=5152390500 Z=92103779118 M=6354
A=7655 B=4337 C=8877 X=728888642 Y=9715978036 Z=88350370836 M=3263
A=9407 B=6091 C=8533 X=736737728 Y=4719720652 Z=79194102288 M=1792
A=5395 B=5995 C=6125 X=897817973 Y=3169988368 Z=66850934444 M=4448
A=6965 B=3260 C=5265 X=760187881 Y=1983764745 Z=93201833494 M=6043
A=2976 B=5732 C=8173 X=255602189 Y=7491292164 Z=40394274608 M=5128
A=8409 B=8184 C=7221 X=730751142 Y=2992364660 Z=50175783569 M=6027
A=3398 B=8754 C=9251 X=415838742 Y=6969630859 Z=88198776723 M=4451
A=8460 B=9471 C=6718 X=138030060 Y=8569070862 Z=98879033227 M=1760
A=2511 B=6712 C=8748 X=151596333 Y=9663740972 Z=18616555478 M=6440
A=5957 B=6045 C=9027 X=956424826 Y=5919977738 Z=92623775872 M=9720
A=3902 B=5440 C=6022 X=328740415 Y=5512927685 Z=71841144496 M=3436
A=4258 B=3563 C=5502 X=474189338 Y=3714140334 Z=89688837047 M=5395
A=4524 B=8700 C=6729 X=992605269 Y=2179034131 Z=50124994261 M=1363
A=3204 B=5132 C=7347 X=355094748 Y=2350962934 Z=14206857252 M=9658
A=2372 B=7984 C=8115 X=193380212 Y=9200170356 Z=87449691110 M=2896
A=6628 B=9201 C=5787 X=428991567 Y=8483798685 Z=40056979847 M=8438
A=6407 B=3049 C=8560 X=697695845 Y=7936591767 Z=40543992839 M=2611
A=5383 B=5820 C=6432 X=225498427 Y=9490323694 Z=19253765762 M=3969
A=6570 B=5174 C=6286 X=386283251 Y=7810420285 Z=54380196556 M=5812
A=4488 B=8664 C=5552 X=816676316 Y=8015414262 Z=54394861269 M=6550
A=6059 B=5133 C=6602 X=961255177 Y=4493651946 Z=27671638127 M=6900
A=5094 B=9512 C=9089 X=924810346 Y=6358863494 Z=27165841327 M=8075
A=4476 B=6484 C=7676 X=961273574 Y=5538329349 Z=24979122232 M=9226
A=2195 B=3150 C=6617 X=388276371 Y=1337947341 Z=91784413599 M=5879
A=9593 B=4665 C=8806 X=685336059 Y=3318294850 Z=38009014514 M=7585
A=9954 B=5617 C=6934 X=657973811 Y=3151042554 Z=96035822504 M=1205
A=7572 B=5937 C=9612 X=169637316 Y=2208206761 Z=47074760917 M=4806
A=4181 B=8585 C=9012 X=762538639 Y=1841876681 Z=91211233877 M=7233
A=5925 B=7247 C=8721 X=794639885 Y=5901833562 Z=71668409761 M=6306
A=9222 B=8530 C=6954 X=377936672 Y=7211620747 Z=47020822677 M=4757
A=3635 B=8222 C=7116 X=633381719 Y=6449408780 Z=42398537820 M=6375
A=6372 B=4570 C=9880 X=306989354 Y=5852924166 Z=23916226798 M=9311
A=4285 B=3506 C=8945 X=694273723 Y=4927669591 Z=30694553986 M=9534
A=3849 B=6848 C=6846 X=204128813 Y=2895722336 Z=98845667097 M=1243
A=3076 B=7413 C=6583 X=139725126 Y=6807254061 Z=40147598552 M=2766
A=6062 B=3652 C=6691 X=502056823 Y=8786356315 Z=27098305802 M=4630
A=4203 B=7729 C=8467 X=911061840 Y=5695961021 Z=80497284992 M=4812
A=8395 B=5219 C=9675 X=265088337 Y=6700479317 Z=77678461808 M=1743
A=7771 B=4888 C=5288 X=844862666 Y=8690455028 Z=10150427525 M=6379
A=8559 B=5508 C=6329 X=646801501 Y=6729048229 Z=83059263832 M=8190
A=9472 B=4555 C=6038 X=844410046 Y=1339906093 Z=11191959425 M=1295
A=4188 B=6277 C=7279 X=740939742 Y=8672889317 Z=46975556902 M=9956
A=9851 B=6365 C=7553 X=168529619 Y=7951569727 Z=18049042341 M=7749
A=4733 B=6468 C=5549 X=302192331 Y=3681802727 Z=14995978247 M=2920
A=3896 B=8727 C=5418 X=711426662 Y=3973634549 Z=47844872847 M=4474
A=5044 B=5106 C=7658 X=344418977 Y=3507181024 Z=78775493408 M=9473
A=2744 B=9840 C=6336 X=671295403 Y=8155002695 Z=76328732103 M=6422
A=4513 B=5544 C=6328 X=721953567 Y=8652073182 Z=60852494089 M=9248
A=9341 B=4601 C=6526 X=911909693 Y=3068681917 Z=40358587069 M=8732
A=4792 B=6374 C=7150 X=477827531 Y=5302511008 Z=29030789042 M=4699
A=9291 B=5878 C=6068 X=270390294 Y=3106494819 Z=77428878131 M=8104
A=8556 B=9286 C=6084 X=710653328 Y=5610997777 Z=12344194169 M=3364
A=4637 B=7114 C=8236 X=193979804 Y=7900275816 Z=74489221297 M=8665
A=7470 B=6863 C=6132 X=266305960 Y=3530904545 Z=43688093227 M=4445
A=2391 B=7040 C=7475 X=186505139 Y=9120642605 Z=95261370603 M=1535
A=5456 B=5025 C=6567 X=580863853 Y=5605284470 Z=72652437740 M=6892
A=5788 B=7522 C=8844 X=383566564 Y=9550504330 Z=43380574260 M=4883
A=2560 B=3784 C=5131 X=201729057 Y=6333910829 Z=31456665071 M=4213
A=3994 B=4942 C=6829 X=939053914 Y=8404394439 Z=90409204327 M=8052
A=6772 B=9111 C=7782 X=721524012 Y=5691102353 Z=84923330958 M=4577
A=8454 B=9186 C=9842 X=403496415 Y=4196331677 Z=25912526486 M=3261
A=5177 B=8906 C=6659 X=450170967 Y=8651915025 Z=17692933238 M=6211
A=2458 B=8574 C=5627 X=692573409 Y=4089938977 Z=62384300037 M=7964
A=3629 B=5031 C=5456 X=368631528 Y=8783193601 Z=64315303667 M=7302
A=2160 B=9610 C=6494 X=758533702 Y=7181087190 Z=38359648010 M=6088
A=5826 B=5085 C=9739 X=399012154 Y=1437323157 Z=65000157176 M=1501
A=8081 B=8004 C=9882 X=428792293 Y=2486024003 Z=99917277921 M=6380
A=2203 B=4121 C=5289 X=553365118 Y=4214375546 Z=23456998320 M=7455
A=8574 B=8481 C=5103 X=418806731 Y=4586698022 Z=21498747594 M=3779
A=7874 B=5636 C=6573 X=913436778 Y=6314406729 Z=49660805805 M=1628
A=6181 B=3983 C=5542 X=732696942 Y=2307168564 Z=19681684566 M=4605
A=4965 B=6728 C=8267 X=257441021 Y=5229090966 Z=21623360314 M=2860
A=4706 B=3062 C=7046 X=226733178 Y=4119447931 Z=57900840776 M=9709
A=9238 B=6783 C=5218 X=702995802 Y=9242812965 Z=68674405205 M=7877
A=9244 B=6993 C=6334 X=771832298 Y=4255598215 Z=49239024676 M=8145
A=5810 B=4578 C=8518 X=260834581 Y=9145793901 Z=72246555480 M=9491
A=6695 B=4315 C=6663 X=376619810 Y=8432682974 Z=36398107501 M=8501
A=9626 B=3956 C=7234 X=195169788 Y=2884330260 Z=41620488844 M=2133
A=8341 B=4921 C=8656 X=437848740 Y=7673561837 Z=58507682241 M=7238
A=7316 B=7509 C=5011 X=652199243 Y=1749605393 Z=45589044739 M=5332
A=4575 B=9247 C=7520 X=510804499 Y=2405239590 Z=27768028008 M=3137
A=2614 B=9128 C=5611 X=761477645 Y=1146181503 Z=24329624019 M=7200
A=2453 B=7171 C=9144 X=111548911 Y=1350108558 Z=63106890531 M=5903
A=6858 B=9500 C=9503 X=151746719 Y=5882115125 Z=54510432123 M=3723
A=2946 B=4359 C=9742 X=318123545 Y=8199056606 Z=88899498537 M=4998
A=8028 B=3586 C=6058 X=878325212 Y=1961827066 Z=45732208433 M=6176
A=5255 B=5604 C=6859 X=169257798 Y=5092618467 Z=82436230403 M=2098
A=4879 B=3636 C=7430 X=372937724 Y=9994950496 Z=10367893868 M=2732
A=3990 B=8282 C=8478 X=153661720 Y=8430968309 Z=74079039135 M=3033
A=2922 B=7978 C=7230 X=603127333 Y=8488330785 Z=78332643403 M=3854
A=7891 B=3644 C=6995 X=916039771 Y=5094213143 Z=90092300851 M=9831
A=6653 B=5410 C=5073 X=214851138 Y=5040451795 Z=90544472234 M=3562
A=4175 B=8419 C=5635 X=556289385 Y=7639750361 Z=21016723474 M=7080
A=7215 B=5182 C=7965 X=430926092 Y=2094883573 Z=31797439815 M=6153
A=9006 B=8999 C=7927 X=445056847 Y=7363459586 Z=43866685986 M=6444
A=4622 B=9465 C=9470 X=864214014 Y=9076531885 Z=75403463837 M=3800
A=9736 B=8079 C=9003 X=180409445 Y=1881322439 Z=58460141583 M=2209
A=4263 B=3281 C=6117 X=787889404 Y=8588263198 Z=44124101968 M=1845
A=8614 B=4027 C=5907 X=814167864 Y=8024560210 Z=92722649453 M=9652
A=3360 B=6358 C=9298 X=262657976 Y=9658282584 Z=53550964462 M=4713
A=7481 B=6705 C=7107 X=470611386 Y=2108006379 Z=84218238658 M=4294
A=7356 B=3675 C=8977 X=556744297 Y=5661464155 Z=28182460153 M=8972
A=9448 B=7398 C=8988 X=950610023 Y=5186311297 Z=97873462798 M=7414
A=9281 B=7205 C=7741 X=681616610 Y=4775130472 Z=31147675522 M=6800
A=8980 B=6778 C=5952 X=471135357 Y=9793120507 Z=53266796635 M=6507
A=5081 B=9451 C=6471 X=814065508 Y=7403177508 Z=40960210485 M=8218
A=4587 B=9430 C=6702 X=409534333 Y=8785135293 Z=59365030652 M=6705
A=7185 B=5425 C=5614 X=811539622 Y=9186353579 Z=16378552812 M=7129
A=3925 B=5625 C=6034 X=184273621 Y=2259986253 Z=30052573326 M=4106
A=2834 B=9596 C=9563 X=709294097 Y=8168029789 Z=93593698496 M=6473
A=4625 B=4516 C=6828 X=221115435 Y=4438758601 Z=78468558113 M=7534
A=8751 B=4027 C=9666 X=133101110 Y=9599217050 Z=43784368291 M=1931
A=8947 B=4834 C=5285 X=734430715 Y=7861590555 Z=64928845394 M=4804
A=4640 B=9866 C=9311 X=649180899 Y=2839625591 Z=11300401481 M=1981
A=7748 B=8540 C=6693 X=416192491 Y=1653470899 Z=42164679584 M=8811
A=5974 B=7983 C=7274 X=380444264 Y=7056009410 Z=99361815950 M=8034
A=8496 B=8192 C=7678 X=431750604 Y=6723292655 Z=97525877941 M=5126
A=8105 B=5450 C=7298 X=301212933 Y=5914571814 Z=36774456512 M=1362
A=3202 B=3774 C=7361 X=652112748 Y=8868733982 Z=47858651017 M=1859
A=6555 B=7136 C=8521 X=539556955 Y=1316204294 Z=53946956050 M=3365
A=7286 B=3487 C=6788 X=465261045 Y=6132008544 Z=86790011766 M=4321
A=7474 B=3296 C=5468 X=478377788 Y=9141395727 Z=14372548783 M=5324
A=9158 B=9474 C=6719 X=109215474 Y=7721283849 Z=97589314343 M=3691
A=3752 B=3860 C=7965 X=693870697 Y=4253219006 Z=57428306789 M=4523
A=6263 B=4977 C=8724 X=634189307 Y=4633125508 Z=65813874711 M=7494
A=6730 B=7104 C=8715 X=900165673 Y=8066347732 Z=44587430867 M=7447
A=5154 B=6334 C=5219 X=796702163 Y=1447684861 Z=43860229797 M=9837
A=5483 B=9808 C=6950 X=704321271 Y=7597127319 Z=17398967082 M=6903
A=8083 B=8469 C=7390 X=511665581 Y=4040405356 Z=22895488939 M=6976
A=2004 B=8027 C=5130 X=628929058 Y=9869525038 Z=96614937889 M=6008
A=4520 B=3955 C=7981 X=102112230 Y=6658136615 Z=57156870544 M=4318
A=2784 B=6826 C=9561 X=487027685 Y=6987832033 Z=48067199716 M=4106
A=9850 B=8259 C=7449 X=624331528 Y=7616142565 Z=68509273875 M=4527
A=7684 B=4470 C=5726 X=195952353 Y=2293757833 Z=92711021809 M=3419
A=6451 B=6574 C=8771 X=985665116 Y=1088985811 Z=28605961737 M=8677
A=3782 B=8170 C=5155 X=334572648 Y=9310534367 Z=25101280227 M=1647
A=5428 B=8542 C=7341 X=472479194 Y=4242783545 Z=28620467566 M=2763
A=8927 B=5063 C=7595 X=333121311 Y=9042472184 Z=79425869004 M=5187
A=5691 B=5570 C=8287 X=145375843 Y=3462371896 Z=22089208799 M=7595
A=8680 B=6714 C=7324 X=396624600 Y=6300779297 Z=96720116355 M=7545
A=4806 B=4579 C=9246 X=696389140 Y=6913470249 Z=66027319358 M=6816
A=9698 B=8279 C=9088 X=810955320 Y=9149623595 Z=29632642335 M=8242
A=2743 B=6627 C=9382 X=216220305 Y=1026349964 Z=85904671099 M=9218
A=4214 B=9437 C=7240 X=718102100 Y=9319596628 Z=92545902514 M=4830
A=6026 B=6038 C=8355 X=546388626 Y=5841355990 Z=54169388568 M=3124
A=2938 B=7122 C=5281 X=479689213 Y=4263125502 Z=77274308088 M=6339
